name,institution,course_url,course_id,id,promedio_rating
Animal Behaviour and Welfare,The University of Edinburgh,https://www.coursera.org/learn/animal-welfare,animal-welfare,72.0,4.808333333333334
Convolutional Neural Networks in TensorFlow,DeepLearning.AI,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow,convolutional-neural-networks-tensorflow,73.0,4.468628299437473
Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,https://www.coursera.org/learn/positive-psychology-visionary-science,positive-psychology-visionary-science,74.0,4.898365679264556
Introduction to the Biology of Cancer,Johns Hopkins University,https://www.coursera.org/learn/cancer,cancer,75.0,4.8132142857142854
Convolutional Neural Networks,DeepLearning.AI,https://www.coursera.org/learn/convolutional-neural-networks,convolutional-neural-networks,76.0,3.8819277108433736
Using Python to Access Web Data,University of Michigan,https://www.coursera.org/learn/python-network-data,python-network-data,77.0,4.717531955183841
Introductory Human Physiology,Duke University,https://www.coursera.org/learn/physiology,physiology,78.0,4.784028126569563
Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,https://www.coursera.org/learn/systematic-review,systematic-review,79.0,4.847051198963059
Communication Strategies for a Virtual Age,University of Toronto,https://www.coursera.org/learn/communication-strategies-virtual-age,communication-strategies-virtual-age,80.0,4.877777777777778
Moral Foundations of Politics,Yale University,https://www.coursera.org/learn/moral-politics,moral-politics,81.0,4.854368932038835
Étudier en France: French Intermediate course B1-B2,École Polytechnique,https://www.coursera.org/learn/etudier-en-france,etudier-en-france,82.0,4.844322344322344
Managing the Company of the Future,London Business School,https://www.coursera.org/learn/company-future-management,company-future-management,83.0,4.836814621409921
Finance for Non-Finance Professionals,Rice University,https://www.coursera.org/learn/finance-for-non-finance,finance-for-non-finance,84.0,4.814516129032258
Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,https://www.coursera.org/learn/site-reliability-engineering-slos,site-reliability-engineering-slos,85.0,4.254278728606357
Autism Spectrum Disorder,"University of California, Davis",https://www.coursera.org/learn/autism-spectrum-disorder,autism-spectrum-disorder,86.0,4.678461538461539
Data Science Methodology,IBM,https://www.coursera.org/learn/data-science-methodology,data-science-methodology,87.0,4.330518697225573
